,Tiếng Việt,Kon Tum,Gia Lai,Bình Định
7111,nhỏ,"tơklẽl, ioh, krĕ, tơkel, iĕ, tbböl, nhĕ nhŏ, kơbŏl, klĕl, pơleu",,ken 
7112,nhỏ xíu,"iĕ iĕn, tơlak ’dak, nhĕ",,ken kŏch 
7113,quá,iĕl,,"hluôi, adrin"
7114,các bạn các anh,iĕm,,
7115,đơn vị đo tiền tệ,iĕn,,
7116,gà,"iĕr, pơl",I`er,yĕr
7117,gà nước,"iĕr 'dak, thum",,
7118,ông,ih,,"kơwơng, bok"
7119,phòng khi,ih ah ơh,,
7120,tiếng dùng ở mệnh lệnh,ih hih,,
7121,uống để xua đuổi người khác đi,iih,,
7122,tiếng động cơ nổ,i-ĭng,,
7123,tiếng chim vỗ cánh bay,"ĭr ăr, i-ĭr, ĭr ĭr",,
7124,liên tục,"ik ik, bơgrong, bơlŭk bơlăk",,
7125,chiều chuộng,im,,
7126,in sách vở,in,,
7127,tôi,"tơrôl, kâu, inh, ĕng",,inh 
7128,đong đưa,"giul gial, ngit ngôt, ieng iong, ing iông",,
7129,ngục tổ tông,inghêrô,,
7130,nhỏ,"tơklẽl, ioh, krĕ, tơkel, iĕ, tbböl, nhĕ nhŏ, kơbŏl, klĕl, pơleu",,ken 
7131,nhỏ bé,ioh iĕ,,
7132,lấy,iŏk,,yŏk
7133,lung lay,"lel lol, iŏl iŏl",,
7134,dang đạc bước đi,iôp iôp,,
7135,nhanh tay,"'lơ'lĕp, iơ iĕp",,
7136,các ông,iơ̆m,,
7137,rậm rạp,"rơmu, it ing",,
7138,thế đấy,"aah, i-uh, ei deh",,
7139,đứng lên,"iung, kiat",,
7140,nước sâu ngập đầu,iung,,
7141,chua,"iŭ, jô",,nhŭ 
7142,sợ,iŭ,,yŭ
7143,nguy hiểm,iŭ yêr,,"bơplênh, gơlaĭ"
7144,lay động,iŭl iŭl,,
7145,cuốn chỉ thành cuộn nhỏ để dễ nhuộm,iŭn,,
7146,vâng,"ŏ, ĭ, pơnguan, hơ̆m",I ̆,
7147,cứt,ĭch,,ich 
7148,bùa ngãi bảo vệ hoa màu sợ trộm cắp,ĭ-ŏ,,
7149,vâng lời triển để,ĭ kơ mŏ ŏ kơ dăm,,
7150,thần bất hồn của những người đàn bà chết khi sinh,ĭn,,
7151,tiếng chim vỗ cánh bay,"ĭr ăr, i-ĭr, ĭr ĭr",,
7152,tiếng chim vỗ cánh bay,"ĭr ăr, i-ĭr, ĭr ĭr",,
7153,jang ja Cây đậu khấu,ja,,
7154,nấm mối,ja,,
7155,gieo,jai,Rẽi,rai
7156,bờ,"daih, keng, jaih, kơmŭch",,bơ
7157,mời,"tơkơi, dai, tơjak, jak",,"ploh, hnhŭk"
7158,gùi nhỏ để suốt lúa,jak,,
7159,chài,jal,,jar
7160,thoăn thoắt,"jal, rơk rỡk, 'ngial 'ngial, pơh'ngiă pơh'ngial",,
7161,tô lớn,"gôm, jam",,
7162,làm việc,jang,"jang, Bơ ̆  jang",
7163,đã dành,jang jŏ,,
7164,loại dây leo có trái ăn được,jang ley,,
7165,chuyền,jat jơt,,
7166,liên lạc viên,jap,,
7167,rất,"ră, ngây, bơgă, jat, pơgră",,dêh
7168,thắng,"jey, jay, pleh",,
7169,bỏ đi,jăk,"hu`t lễ`, Achăng ",tuk
7170,làm đi,jăk,,
7171,mang đi,jăk 'nhăk,,
7172,giọng cao,jăl,,
7173,thịt heo rừng,jăm,,
7174,thân thể,"akâu, jăn",,akău
7175,thinh lặng,"'lăn, jăn",,
7176,cứng,khăng,,
7177,siêng năng,"hnăp, jăng guanh, găt hrăng jăng guanh, găt, pơnam, tanh yaih, tơhnăp , guanh",,pơnam
7178,cứng,khăng,,
7179,nhựa cây,jăr,,
7180,cây hà thủ ô,jăr jô,,
7181,dầu,jâu,,
7182,bọ ngựa,jâu,,
7183,lúa suốt còn cả cọng nhỏ,jâu,,
7184,dân tộc jeh,jeh,,
7185,khêu ra,"jeh, kuĕk",,
7186,mới tinh,jeh,,
7187,núi,"hơrĕng, kông, jen",,kông
7188,héo,"jeo, prüt, jô","Hõnh, jô",hŏnh
7189,lép,"bo, jep",,
7190,mút,"hiep, jep",,yôp
7191,hỏi,jet,Jet,"pinh , apinh, pinh"
7192,ghè nhỏ,jeu,,
7193,thắng,"jey, jay, pleh",,
7194,Cách mặt nhưng lòng gần nhau,jĕ,,
7195,loại chim giống chim bìm bịp,jĕk 'jrŏk,,
7196,láng,"tơnăr , jĕl",,
7197,lâu hết,"jĕn, diĕn",,
7198,thẳng tắp,"jĕr, ttf'nhër, 'juơh",,
7199,cà nhắc,"jĕu jĕu, jol jol, teng grẽ, khŏi khŏi",,
7200,tiền,jên,,jên
7201,dẫn đi,jên,,
7202,khập khà khập khễnh,jêp jêp,,
7203,ngây thơ,jêu,,
7204,bờ rẫy,"hơngla, poy, jih",,
7205,hàng rào xung quanh làng,jih jang,,
7206,chỉ vết thương có mũ rỉ ra hay mưa rỉ rả,'jih 'jih,,
7207,mình ơi,jin,,
7208,tốt,"ake, jing, lơ̆ng",,lưng
7209,đau,jĭ,Jĩ – Anho`ng ji` kiơ anoh?,jĭ
7210,là,jĭ,Uih,la
7211,chính,jĭ,,
7212,đau ốm,jĭ jăn,,
7213,mưa rỉ rả,"jĭk 'jĭk, 'jơ'jrip",,
7214,báng,"preh, jĭl",,
7215,mang,"băk, jĭl",,jil
7216,chân,"jỡng, jĭng",,jưng 
7217,vá,"klŏp, klĕp, jĭp",,
7218,vót,jĭt,"ji ̆ t, Chroch",trŏch
7219,mười,"pơjĭt, jĭt",,jĭt 
7220,ống đựng tên,"jo, rtfwang",,
7221,què,jo,,
7222,què quặt,jo jep,,
7223,khôn ngoan,"jơnuaih, joaih",,alăng aluôh
7224,góc,joch,Mum,"kơsŏ , kơchŏ"
7225,cắn,"chĕn, hơ-o, kăp, joh",Kăp,kăp 
7226,chảy nước miếng khi thèm ăn gì,'joh 'joh,,
7227,liên tiếp,"'joi, hrơ hrŭk hrơ hrăk, tơ'jrẽng, ring ping",,
7228,một cây,"roh, 'joi, gĕng chơgĕng",,
7229,bên,"gah, joi, ni","Gah, pah",gah
7230,cong,"kŏk, kơdĕu, go, po’küch, gai, jơkũch, jok, chŏng wŏng",,đŏng
7231,giơ vật lên cao,jol,,
7232,cà nhắc,"jĕu jĕu, jol jol, teng grẽ, khŏi khŏi",,
7233,kính trọng,"kah, jom",Hli yom,
7234,bu vào,"'jom, 'jôm, dom",,
7235,khoèo chân,jon,,
7236,chim nhồng,"kieng kiong, jong",,
7237,dọn bàn,jong,,
7238,một loại cây có đọt chua,jong moch,,
7239,gùi đan mắt cáo để gùi nước hay củi,jop,,
7240,trật,"chroih, chraik hơwak, jor, chrôih",,
7241,phải không,"hơ̆m jŏ, jö",,
7242,chim bói cá,"jồ krong, hơdrŏng krong",,sem hlum 
7243,tên thật,'jố măt,,
7244,nhảy tung tăng,jöl kợjôk,,
7245,ngẩng đầu lên,jöng,,
7246,gùi lớn,"brong, hơkă, jöng, tơnõng",,
7247,héo,"jeo, prüt, jô","Hõnh, jô",hŏnh
7248,kể công,"tơyõ, jôch",Yõ,
7249,ngay lúc đó,jôi,,
7250,lúc đầu,jôigơgỡl,,"jơnang pơtơm , đưng pơtơm, jơnang pơtơm"
7251,mau lớn,"jôk, dơyô",,
7252,đúng cở,jôm,,
7253,bu vào,"'jom, 'jôm, dom",,
7254,Chạm nút,'jôp,,
7255,hút ra bằng ống hút,jôr,,
7256,dài,"jôr, tai, dô, kơjung",,đuôĭ
7257,ốm còi,'jôr,,
7258,vó cá,"kơhne, jôr chơnỡk",,
7259,loại hơi lớn,jôt,,
7260,đếm,jỗ,Jỗ,yap 
7261,chua,"iŭ, jô",,nhŭ 
7262,giờ,jơ,Jơ,jơ 
7263,cây bần,"hơ-ar, jtf-ar",,
7264,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7265,vẹt mái,jơba,,
7266,đẹp trai,jơblan,Anho`ng alâng ako`u,
7267,chí râu thưa và dài,jơbram,,
7268,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7269,có râu rậm và dài,"jơbrôi, chơbrôi",,
7270,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7271,râu ria xồm xoàm,"jơbrơm, chơbrơm",,
7272,một loại cây có hoa đầu tím đẹp,jơbrỡp,,
7273,đánh bằng nắm tay,jơbữ,,
7274,cây khô gom lại để đốt,jơdram,,
7275,loại dây rừng không được đụng tới rễ,jtfdrang,,
7276,daây nịt,jơđrăng,,
7277,miếng thịt cắt mỏng và dài,jtfdrek,,
7278,hoa mai,jơdri,,
7279,chặn khúc sông cạn để bất cá,jơdroi,,
7280,chỉ môi hở,jtfdrô,,
7281,rượu ghè,"dơdrô, jtfdrô",,
7282,nhẫn,"'bliah, 'bliowh 'bliah, chơnơng, jơdrơng, jưdrơng, tơkiẽn",,
7283,êm dịu,"dơdiu, jơdu, hơdu",,
7284,mông,"bơtâu, jơduih, kơtaih",,pơtău 
7285,khùng,"jơdư, chơdư",,
7286,ngăn phòng,jơgăn,,
7287,gầy ốm,jơgong,,
7288,cứng đơ,"kơ'ngơ̆ng, hơrăng grau, jơgống, chơgŏng, jtfnjơng",,
7289,cá lớn,jơgôk,,
7290,lớn và cao,jơgông,,
7291,gấu,"chơgơu, jơgơu",Chơgơu,
7292,nhô lên,"chơgrôn, jơgron, tơgrôn, 'dŏl",,
7293,trói tay sau lưng,jơgrõn,,
7294,u lên,jơgrôn,,
7295,chỉ nằm ngữa,jơgrữ,,
7296,nếu,"jơh, chơ̆ng","tơdah, jơh, Hơgơ ̆m","yăh , tơ̆ng"
7297,chỉ há to miệng,"jơhoh, jơhôh, jơhah",,
7298,thác nước,"tơkei, akơi, jơhai, kơtuh, tơkơy",,
7299,chúm chím,"rơhẽ, jơhẽ",,
7300,bực mình,"chơhĕng, jơhẽng, tơhẽng ",,
7301,chán nản,"pơngoi, jơhẽng, bơngoi",,nganh
7302,tha hồ,"dơhmăn, tơhmăn , jơhmăn, hmăn, diơ hmăn",,
7303,giấc ngủ ngắn,"chơner, jtfhngier, hngier, jơner, rơngăl",,
7304,cười hả hê,jơhngơi,,
7305,hơi thở,jơhngỡm,,"sơhngơ̆m, huôt sơhngơ̆m"
7306,dác gỗ,"tao, chơhnot, jơhnot",,
7307,que rảy nước thánh,jơhnũl,,
7308,tiếng thác đổ,"o-ong, chơhai, chơhoa, jơhoa, jơwa",,
7309,chỉ há to miệng,"jơhoh, jơhôh, jơhah",,
7310,ống nứa để uống rượu,"jơhoi, chơhoi",,
7311,khuôn mặt trái xoan,"jơhoih, jơhom, jơhôih",,
7312,khuôn mặt trái xoan,"jơhoih, jơhom, jơhôih",,
7313,chỉ há to miệng,"jơhoh, jơhôh, jơhah",,
7314,khuôn mặt trái xoan,"jơhoih, jơhom, jơhôih",,
7315,dốc thẳng đứng,jơhơih,,
7316,trang hoang ghè bằng vải màu,jơhuat,,
7317,thần lần cổ màu xanh hay đỏ,jơi,,
7318,láng bóng,"bơnhă, 'byỡt, gườih:, pơblơ̆t, pơnhă",,
7319,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7320,hỏi thăm,jơjet,Jet hơpinh,
7321,vắng tanh,"jơjẽng, rơheng jơjẽng, kuăng, chơjĕng, juă juăn, gleng glot",,
7322,mưa rỉ ra,'jơ'jih,,
7323,bị dột,'jơjih 'jơ'jah,,
7324,gõ nhẹ bằng đầu ngón tay,joTjoh,,
7325,là phải,jơjõ,,
7326,một loại chim ăn cá,jofjö krong,,
7327,cằn nhằn,"tơjõk, jơjõk",,
7328,dài thòng,"jơjôi, dong dong, 'ngông",,
7329,mò mẫm,"hơ'mơt, jơjơ, hơmai",,
7330,rước kiệu,jơjỡng,,
7331,khắp nơi,"pơjơ̆p, jơp, jợjơp",Jỡp jang,"jơ̆p jang, jơ̆p"
7332,nhọn hoắt,"tơjuẽk , dơjuĕch, jtfjuëch, chơjuĕk, jơjỡr, jơjuẽr",,han dêh
7333,mưa rỉ rả,"jĭk 'jĭk, 'jơ'jrip",,
7334,chảy ròng ròng,"gơgơ̆r, jơjrỡk",,
7335,mất bình tĩnh,jtfjueng ,,
7336,nhọn hoắt,"tơjuẽk , dơjuĕch, jtfjuëch, chơjuĕk, jơjỡr, jơjuẽr",,han dêh
7337,khei mù mịt,jơjuẽng jơjuăp,,
7338,nhọn hoắt,"tơjuẽk , dơjuĕch, jtfjuëch, chơjuĕk, jơjỡr, jơjuẽr",,han dêh
7339,một loại bọ rẫy lớn,jơjuk,,
7340,lộn xộn,jơjũ jơjă,,
7341,nén cười,jơjũm jơjăm,,
7342,màu xanh biển,jơk,,
7343,dẹp mỏ vịt,jơkap,,
7344,lúa xà cơn,"jơke, chơke",,
7345,ló đầu ra,jơkêp jơkap,,
7346,đẹp,"jtfkhong, long, chơkhong, guăng, rõ, kơlă, chơkhông",Liẽm,liêm
7347,cao chót vật,jtfkhot,,
7348,lều khều,"chơkrêu, jơkrêu",,
7349,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7350,cong,"kŏk, kơdĕu, go, po’küch, gai, jơkũch, jok, chŏng wŏng",,đŏng
7351,gai,"chơla, jơla",,jla
7352,cây cà na,jơlăt,,
7353,bông tai,"jơle, chơle, chele",,
7354,tối tăm,"chơleng gueu, jơleng, gơleng, gueu, kơkĕt",,"klăm klu, klăm kleng"
7355,mù tịt không hiểu,"jơleng, gơleng, gleng",,
7356,cây có hạt đỏ cứng để trang hoang năm chiêng,jơlẽch,,
7357,đen xì,jơlit,,
7358,chỉ mới nhọn chỉa,jơliu,,
7359,bất lịch sự,jcfling,,
7360,tối đen,jơỉíp,,
7361,đâm thọc,"hơtơ̆p, jơloh",,
7362,giắt tóc,jơ!ong,,
7363,một loại chim,"he he, at, brung, teng guẽr, glong, jơlong, chă",,
7364,xinh xắn,"jơlôih, tơhlẽnh",,
7365,thay đổi,"hơplih, jơlơih, pơplih",,
7366,bị vạ lây,jơlổm,,
7367,dân tộc phía đông kontum,jơlỡng,,
7368,xô đẩy,"gung geng, chơkeng, tơ'Iă , tơ’Iỡ, jơ'Iũt","tơlơ ̆, Jơlu ̆t",
7369,dưa gang,"tơpong, kơpŭng, jơm, tơpũng",,
7370,lưới bắt dơi,"pơtỡng, jơm",,
7371,nhím,"jơma, khĕm",,jơma 
7372,hạt cườm,"jơmai, dreng, chơmai, hrong, anam",,
7373,đơn độc,"jofmaih, tơnhõl","Hơdrô`, adrô`",
7374,ngon,"nham, jơman, lŭ",,nham
7375,bệnh thấp khớp,"jơmă, kem, cho",,
7376,ngăm đen,"chơmăng, jơmăng",,
7377,cây trâm,jơmul,,
7378,dọn dẹp,"hơmet, anăk, pơgruah, jơmech",,
7379,loại cây lấy vỏ giã làm men,jơmi,,
7380,xương sườn,"bơnir, jtfmir, pơnir",,
7381,đốm trắng,"jơmlek, 'brôk 'brôl, khim bong, kơ'mlek",,
7382,tư thế đứng thẳng hay nằm,jơ'mlổk,,
7383,hên,"jơmo, chơmo",Jơmo,
7384,đá thần,jơmông,,
7385,mào gà,jtfmrang,,jơmang yĕr  
7386,một loại cây rừng,"rơlang, juenh, kơdŭl, chơdreng, kơ'dŏl, tơboih, jơmrăng, hamal, pơblĭu, bruah, re, kơka, hơbot",,
7387,cây mầm,"jơnang, pơxổng",,
7388,hạnh phúc,"pheo, jơnap",Rơ nu`k,
7389,chức sắc trong làng,jơnăk,,
7390,chỉ hai người hay nhiều người nằm co quắp bên nhau,,jơ’năk jơ'nit,
7391,chiến thắng,jơnei,,
7392,một phần tư,"chơner, jơner",,
7393,giấc ngủ ngắn,"chơner, jtfhngier, hngier, jơner, rơngăl",,
7394,cây dẻ,jơnet,Alonh khôih,
7395,vách,"jơnẽng, chơnĕng",,
7396,cứng,khăng,,
7397,một loại chim giống bìm bịp,jơng kro,,
7398,ưỡn ngữa,jơ'ngang,,
7399,màu xanh đậm,jơngêt,,
7400,đầy ắp,"hơlăk hơlŏl, hmơ̆l hmăl, hơlăk hơlôl, jơngit, dơmlơl, tơmỡl , dơ'bơ̆l, dơ'bêl, tơhmổl , hơlŏl, tơmăl , tcf'bêl, gơ'bêl gơ'bal, nglăk",,
7401,cọc,"jơnglơng, bơnơng, pơnơng",,dơngưl
7402,tha,"hơngơn, jơngong",Anih amăn atõu,
7403,vừa đi vừa ăn,"anglong, chơngong, jơngong",,
7404,cao nghều,"tơ'ngong, jơ'ngong, rơngao",,
7405,dáng người thấp thoáng như nhỏ,jơngoy,,
7406,hung dữ,"atei, atay, jơngỡm, hơtay",Khẽnh,nưih brư
7407,cha mẹ chồng hay vợ,jơni,,
7408,củ huyết,jơnin,,
7409,dăm bào,"rơkẽt, jơnit",,
7410,tang gia,jơm,,
7411,cứng đơ,"kơ'ngơ̆ng, hơrăng grau, jơgống, chơgŏng, jtfnjơng",,
7412,cào,"chraih, kôch, tơraih, jdnoaih, hrêu, koih","Kôch, Along khir","kôch, kaĭ, paĭ"
7413,ống đựng lúa giống trỉa,"hơnoi, jơnoi",,
7414,đỉnh cao nhất,jơnol,,
7415,nằm sõng sượt,jơ'nong,,
7416,rượu ghè kang đầu tiên,"chơnôr, jơnôr",,
7417,cây ngành ngạnh xanh,jơnôt,,
7418,ổn định,jơnỡn,,
7419,nước châm,jơnu,,
7420,đất mùn,jơnu,,
7421,khôn ngoan,"jơnuaih, joaih",,alăng aluôh
7422,joaih,jơnuat,,
7423,khoảng rừng bị cháu,jơnuh,,
7424,luật lẹ,jơnũk,,
7425,ức,"tơnưh, jơnứh",,
7426,căng đầy,jơ-ỗ mă jơ-ỗ,,
7427,thoi bóp,jơpẽt,,
7428,một loại dây rừng,"chich, jrung, jơpêl, bơdrang",,
7429,căng,"chơkăng, tăng, jơtăng, chơtăng",,
7430,nghiên khắc,"chơkăng, chơtăng chơtĭt, jơtăng",,
7431,vô dụng,jơ-ưh,Hơhrah,
7432,tiếng thác đổ,"o-ong, chơhai, chơhoa, jơhoa, jơwa",,
7433,thần sông,jơwăn,,
7434,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7435,ngọn tre,jơwing,,
7436,đen nghèo,jơwit jơwat,,
7437,chim chèo bẻo,"jơwoi, chơwơi",,
7438,non,"tơnơm, hơnglai, bơnũng, piop piop, jơxeh, pơnững, chơnglai",,"kơsĕ , lốp"
7439,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7440,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7441,một loại ghè,"chơ'blĕng, beng, chơbo, jơbrông, brẽl, chơbom, goh, jơ lam, diok, pơdrang, jơ tuang, chơgrih, chơgrin, chơ̆, hamo, hron, jơvve, jơbrồng, kha, kruing, cheh chăn, ban, jơ ban, jtfjeo, jơba, lam, chap, biying, hmum, chơ̆'ba, dâu, gop, hơtôk, klăn dông, tơngong, kơdi, krŏi, dreng lao, hơbai, bũng bung, jtfkung, bơi, bröng, kông lenh, cha ha, hơdang, chan dơng, dơde, chơkring, ba, chơ̆krĭng, ku bêk, kei brel, peng beng, bong bong, bon bong, kơlep, chơ'don, krĕk, hroi, atôk, kơhnga, 'blĕng, bơdi, chơlam, chơngong, kơdiang, pơgong, kheo, kơthoch",,
7442,kẹt,"gơ̆n, jỡl",,tơhlăk
7443,ngập đầu,jờl,,
7444,chân,"jỡng, jĭng",,jưng 
7445,khắp nơi,"pơjơ̆p, jơp, jợjơp",Jỡp jang,"jơ̆p jang, jơ̆p"
7446,giã thóc còn sót lại,jra,,
7447,cây vậy,"gơbŏng, jra",,
7448,nhiều,"ăl, rơ-uơl, tơhlổt kiơ, lơ lang, jrah, rơ-ũ, lơ",,lư
7449,bộ lạc,jrai,,
7450,gom cây chưa cháy hết để đốt lại,jram,,
7451,cây nhãn,jrang,,
7452,thuốc độc,"jrao, akơ̆m",,tơngăng
7453,hoan hô,jrao,Jrẽu,bơne tap ti
7454,chống lại,jră,,
7455,chửi thề,'jrăi,,
7456,mò,jrăm,,"bot, amơt"
7457,cây cột,jräng,,
7458,quả có nhựa dính để bẫy chim,jrăng 'nhaih,,
7459,rắc vào đồ ăn,jrâu,,
7460,giã thóc hót,jre,,
7461,ria mồi,jreh,,
7462,loại dây rừng có gai,"jreh, greh",,
7463,hẩm,jreng,,
7464,hút,"jrep, ngok, doch","Iep,  ĩnh ưh kơ et hỡt., trep, doch",hep
7465,sáp ong,"anglong, jrënh",,
7466,tiếng cách phát ra khi lảy có ná,jrêng,,
7467,khing chê,"jrễ, chê jrê̆",,
7468,cây đa,jri,Along jri,jri
7469,cột cửa đuôi đó,jring,,
7470,ầm,jring,,phung
7471,giọng cao thấp,jring jrơng,,
7472,tiếng chiêng trông hỗn hợp,'jíing 'jrăng,,
7473,tưới nước,jro,,
7474,hình trái xoăn,jroh,,
7475,nuốt trong,jrok,,
7476,đi ngang qua,"jrong, drong",,
7477,đạp,"juă, jrot, dơ̆r, juey",Jroh,"kơdăp, gơdah, kơdah"
7478,dưa chua,jrõk,,
7479,loại chim giống như chim bìm bịp,'jrõk,,
7480,thình thịch,"dŭk dĭk, jrõk jrõk",,pĭng păng
7481,chim trĩ,"jrốl, gôr",,
7482,hình nón,"jrống, kơkŭt",,
7483,tinh ỏi,'jrông 'jrang,,
7484,kỳ cọ,"apĕch, hơpĕch, jrôt",Lơ li ̆,
7485,bắn sượt,jrơih,,
7486,chỉ nhiều hàng thẳng tắp,"krơ̆ng krăch, 'jrỡch 'jrăch",,
7487,ròng ròng,jrổk jrổk,,
7488,gặp,"ttfbffp, jrơm",,"tơpau, tơjrưm"
7489,giã gạo lần thứ nhất,jrổp,,
7490,kém hơn,"jruh, thu jruh",,
7491,một loại dây rừng,"chich, jrung, jơpêl, bơdrang",,
7492,đã đính hôn,jrung wai brai bôr,,
7493,kim may,jrüm,,
7494,gùi nhỏ,"chơneh, reo, jrüng","jak iẽ, Hơkăt",
7495,nghiện rượu,'jrüng,,
7496,chuối rừng,"rơlang, ju, hơlang",,
7497,sấy khô trên lửa ngọn,'ju,,
7498,rổ làm bằng ống tre hay nứa,ju je,,
7499,hết sạch,"'juah, lelĕk, 'biah, lơlĕk, hrĕl, teng tong, huah","Goh, tơgrơng, đi` b`iau",
7500,nhà rông,"jual, rông",,hnam wal
7501,vây quanh,"tợjũm , juang",,
